Date,Company,Ticker,Sentiment,Title
2024-08-18,ypf,YPF,0.765,YPF Sociedad Anónima (NYSE:YPF) Receives $22.18 Consensus PT from Brokerages
2024-08-18,minas_buenaventura,BVN,0.7783,Compañía de Minas Buenaventura S.A.A. (NYSE:BVN) Shares Sold by Vanguard Group Inc.
2024-08-18,minas_buenaventura,BVN,0.0,easy-monnify added to PyPI
2024-08-19,minas_buenaventura,BVN,0.9628,Compañía de Minas Buenaventura S.A.A. (NYSE:BVN) Stock Holdings Increased by Blue Trust Inc.
2024-08-20,vista_energy,VIST,-0.3612,"JPMorgan sees upside in Vista Oil & Gas stock, strategic focus on Argentinian shale"
2024-08-20,ypf,YPF,0.0,"MSCI reclassifying Argentina could trigger $1 billion of inflows, JPMorgan says"
2024-08-20,vista_energy,VIST,0.9643,"Vista Energy repurchases shares, updates outstanding count"
2024-08-20,minas_buenaventura,BVN,0.4215,NYC startup pitches outdoor dining sheds for restaurants that can be taken down and reused
2024-08-20,minas_buenaventura,BVN,0.6705,Compañía de Minas Buenaventura S.A.A. (NYSE:BVN) Price Target Cut to $15.00 by Analysts at Scotiabank
2024-08-21,eletrobras,EBR,0.765,Centrais Elétricas Brasileiras S.A. – Eletrobrás (NYSE:EBR) Downgraded by StockNews.com to “Hold”
2024-08-22,minas_buenaventura,BVN,0.0,"FG demands BVN, NIN for $500m bond subscription"
2024-08-22,vista_energy,VIST,-0.6808,"A minimum data set—Core outcome set, core data elements, and core measurement set—For degenerative cervical myelopathy research (AO Spine RECODE DCM): A consensus study"
2024-08-22,vista_energy,VIST,0.969,Vista Energy (NYSE:VIST) Sees Strong Trading Volume
2024-08-23,ypf,YPF,0.9246,YPF Sociedad Anónima (NYSE:YPF) Shares Cross Above Two Hundred Day Moving Average of $20.18
2024-08-23,minas_buenaventura,BVN,-0.8934,Fidelity Bank faults NDPC data breach allegation
2024-08-24,vista_energy,VIST,0.8779,We vist every chance we get…
2024-08-25,minas_buenaventura,BVN,0.9485,SEC urges investors to secure dividends with enhanced e-portal
2024-08-25,minas_buenaventura,BVN,0.9552,Compañía de Minas Buenaventura S.A.A. (BVN): A Good Stock to Buy According to Value Investor Oilfield Partners?
2024-08-25,eletrobras,EBR,0.875,Centrais Elétricas Brasileiras S.A. – Eletrobrás (NYSE:EBR) Shares Gap Down to $7.60
2024-08-25,ypf,YPF,0.9801,Blue Trust Inc. Takes Position in YPF Sociedad Anónima (NYSE:YPF)
2024-08-25,eletrobras,EBR,0.9633,Centrais Elétricas Brasileiras S.A. – Eletrobrás (NYSE:EBR) Shares Bought by Blue Trust Inc.
2024-08-26,ypf,YPF,0.9674,YPF Sociedad Anónima (NYSE:YPF) Shares Sold by Assenagon Asset Management S.A.
2024-08-26,ypf,YPF,0.9712,SG Americas Securities LLC Acquires New Stake in YPF Sociedad Anónima (NYSE:YPF)
2024-08-26,ypf,YPF,0.9628,100% Renewable Energy for Los Azules
2024-08-26,ypf,YPF,0.9485,100% Renewable Energy for Los Azules
2024-08-26,ypf,YPF,0.7845,McEwen Mining announces McEwen Copper renewable energy MOU with YPF Luz
2024-08-26,ypf,YPF,0.9001,100% Renewable Energy for Los Azules
2024-08-26,minas_buenaventura,BVN,0.0258,"Funke Akindele Calls Out WhatsApp Scammer Using Her Photo to Request N200k From Victims, Leaks Chat"
2024-08-26,ypf,YPF,0.9118,Petrobras Eyes Argentina Deals to Boost Energy Imports
2024-08-27,eletrobras,EBR,0.9781,"4,000 Mile M850 Road Trip Highlighting Wyoming, Colorado & Utah"
2024-08-27,ypf,YPF,0.743,"Bloomingdale’s premieres ‘From Italy, With Love’"
2024-08-28,eletrobras,EBR,0.959,SG Americas Securities LLC Boosts Holdings in Centrais Elétricas Brasileiras S.A. – Eletrobrás (NYSE:EBR)
2024-08-28,vista_energy,VIST,-0.9267,'This story is from Mississippi': PA Democrats pounce as rival conflates Philadelphias
2024-08-28,vista_energy,VIST,-0.9806,'Sickening': Trump post spurs outrage — and new accusations that he broke the law
2024-08-28,minas_buenaventura,BVN,-0.9643,"Rivers family accuses police of son’s arrest, torture"
2024-08-28,vista_energy,VIST,-0.891,Stolen influencer pics used to promote Trump could be 'tip of the iceberg': report
