Company,Correlation
copel,0.9669227078040432
companhia_paranaense_de_energia,0.9669227078040432
ecopetrol,0.45177895056948775
braskem,0.33607990497803736
vale,0.07256863107630686
companhia_siderurgica_nacional,-0.3630106846892784
aes_andes,-0.4310518183626495
petrobras,-0.5672540252345851
pampa_energia,-0.6904759159967079
cemig,-0.7684591444103047
enel_chile,
ypf,
centrais_eletricas_brasileiras,
eletrobras,
cosan,
light,
