Date,Close,EMA20,SMA50,RSI,OBV,MACD,Stoch_D,Stoch_K,ROC,Volume_SMA20,Daily_Return,Year,Month,Day
2022-10-18,5.587712287902832,5.598056830840981,5.868103494644165,48.237142753916146,3535300,-0.10245019873643635,28.174649878295654,47.61912303293305,-3.6277545058779648,583430.0,0.02861956659800291,2022,10,18
2022-10-19,5.65172815322876,5.6031683853541026,5.855666027069092,50.154872734252486,3845900,-0.08574539644358126,42.31606020993184,51.94804321590595,-0.6430916145685281,583850.0,0.011456542861828956,2022,10,19
2022-10-20,5.752325534820557,5.6173738281604315,5.845423412322998,53.09567514510911,4295900,-0.06365557051515047,55.266986099039144,66.23379204827839,0.9630891162493607,585420.0,0.017799402034991196,2022,10,20
2022-10-21,6.026681423187256,5.656355503877272,5.843594379425049,60.023001016417076,4665000,-0.023737367419292,71.15865332869963,95.29412472191451,7.5040834374518095,580655.0,0.04769477782610543,2022,10,21
2022-10-24,6.218730449676514,5.709915022524819,5.8434114837646485,64.02797851777748,5926700,0.02312823959705579,87.17597225673099,100.0,7.936509118837874,612430.0,0.03186646397972215,2022,10,24
2022-10-25,6.182149887084961,5.7548897715305465,5.843960199356079,62.738695303830546,4609800,0.0566646305330778,97.1241874715344,96.0784376926886,11.001646928524535,632655.0,-0.0058823200149245025,2022,10,25
2022-10-26,5.999245643615723,5.778161759348182,5.843045682907104,56.601568606065854,3006200,0.06770317802064163,90.8496671779791,76.47056384124865,10.998311027795697,693305.0,-0.029585863625102515,2022,10,26
2022-10-27,6.200439929962158,5.818378727978085,5.8419482612609865,61.10831305566379,3644200,0.09162975313374044,87.54637431994196,90.0901214258886,14.333907116122916,695670.0,0.033536597482142216,2022,10,27
2022-10-28,6.227875232696533,5.857378395094128,5.8434114837646485,61.692499549923205,4274500,0.11152000276373997,86.45116085209766,92.7927972891557,17.61658749646654,685990.0,0.004424734864666657,2022,10,28
2022-10-31,6.46565055847168,5.915309077320561,5.850727643966675,66.40271360947402,4923200,0.1448004807093204,94.0379023801404,99.23078842537683,19.023570516108286,673445.0,0.03817920508857009,2022,10,31
2022-11-01,7.252136707305908,6.042625994462023,5.871029958724976,76.63596517296541,7205500,0.23196441711831195,96.58361669194329,97.72726436129727,29.787224782608916,747920.0,0.12164068282405505,2022,11,1
2022-11-02,7.041797161102295,6.137785153189668,5.886028060913086,70.45526810138863,6064300,0.28083255828725306,94.74358868488173,87.27271326797101,24.595468327318727,776590.0,-0.029003803250387428,2022,11,2
2022-11-03,7.114959239959717,6.230849351929673,5.902672319412232,71.32164884935736,6730800,0.3217554836328871,91.82539320252208,90.47620197829788,23.68839692556912,773160.0,0.010389688482019377,2022,11,3
2022-11-04,7.371024131774902,6.339437426200647,5.926998519897461,74.17596174883454,7819300,0.3705777044486789,89.9281129927008,92.0354237318335,22.30651687370395,793435.0,0.03598964986012132,2022,11,4
2022-11-07,7.01436185836792,6.403715943549912,5.944008579254151,64.54051901579253,6931100,0.3761539330844412,85.29204770668186,73.36451740991416,12.794113125337237,814965.0,-0.04838707173260881,2022,11,7
2022-11-08,7.078378200531006,6.467969491833826,5.961567344665528,65.40905785655201,7926200,0.38134283542934977,80.00642069207557,74.619320934479,14.49703306803257,839785.0,0.009126467019479056,2022,11,8
2022-11-09,6.886329174041748,6.507813271091724,5.97821159362793,60.61254791812241,7292200,0.365742277199816,70.20514691825339,62.63160241036698,14.786584566178615,840930.0,-0.027131783729054004,2022,11,9
2022-11-10,6.456504821777344,6.502926752109402,5.987356777191162,51.50858170263118,6543000,0.31506363194248177,56.60745056914584,32.571428362591504,4.12978586531921,858690.0,-0.0624170499842851,2022,11,10
2022-11-11,6.483940601348877,6.501118547275066,5.99613615989685,52.004126553034084,7431800,0.2739562811005056,43.03702684098608,33.90804974999971,4.11160081223196,864280.0,0.004249323794972559,2022,11,11
2022-11-14,6.584537982940674,6.509063255433696,6.004732637405396,53.86576549405225,7873100,0.2466525206407475,35.569795928794,40.22990967379074,1.8387542505405086,867190.0,0.015514852429534765,2022,11,14
2022-11-15,6.611973285675049,6.518864210694778,6.0179017066955565,54.38540616011901,8215500,0.22463840174492233,37.39159262185919,38.03681844178707,-8.827238750007972,867320.0,0.004166625328224205,2022,11,15
2022-11-16,6.273601531982422,6.49550586034122,6.022108497619629,47.30786803627996,7647800,0.17783827238103367,30.85081825678961,14.285726654790977,-10.909084876276424,880175.0,-0.05117560810865873,2022,11,16
2022-11-17,6.054116725921631,6.453468799920307,6.024486255645752,43.36564913932963,6952100,0.12163609792435093,19.73969804141392,6.896549027663665,-14.91002939384502,892460.0,-0.03498545531492103,2022,11,17
2022-11-18,6.0083909034729,6.411080428830077,6.024852066040039,42.56976408418656,6467000,0.07256924494472194,8.401756129731865,4.022992706740911,-18.486348761605363,898260.0,-0.007552847842022703,2022,11,18
2022-11-21,7.352733612060547,6.500761684375836,6.051007308959961,63.67663107821359,9154000,0.14054056771189316,32.97317906553267,87.9999954621934,4.823984854573189,969525.0,0.22374421541225042,2022,11,21
2022-11-22,7.178534507751465,6.565311477078277,6.078434076309204,60.57019276507184,7529800,0.17829662631437238,55.671557233323334,74.99168353103563,1.4149612295786267,984890.0,-0.023691746974668915,2022,11,22
