Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03 00:00:00-05:00,1703.3442382812502,1748.416933370051,1703.3442382812502,1703.34423828125,153596,0.0,0.0
2022-01-04 00:00:00-05:00,1715.453369140625,1741.689714786305,1715.453369140625,1715.453369140625,77867,0.0,0.0
2022-01-05 00:00:00-05:00,1695.9443359374998,1738.3261261652121,1695.9443359374998,1695.9443359375,53562,0.0,0.0
2022-01-06 00:00:00-05:00,1638.08984375,1735.6352348562627,1631.3625753978438,1638.08984375,619564,0.0,0.0
2022-01-07 00:00:00-05:00,1668.362548828125,1695.2716221963205,1667.68982199392,1668.362548828125,348388,0.0,0.0
2022-01-10 00:00:00-05:00,1668.362548828125,1668.362548828125,1668.362548828125,1668.362548828125,0,0.0,0.0
2022-01-11 00:00:00-05:00,1687.198974609375,1695.271696975927,1668.3626224207535,1687.198974609375,69977,0.0,0.0
2022-01-12 00:00:00-05:00,1735.635009765625,1741.0168237493945,1708.7259398467781,1735.635009765625,680860,0.0,0.0
2022-01-13 00:00:00-05:00,1699.980712890625,1745.0534108580457,1699.980712890625,1699.980712890625,1464830,0.0,0.0
2022-01-14 00:00:00-05:00,1664.9989013671875,1731.598857421875,1664.9989013671875,1664.9989013671875,5903660,0.0,0.0
2022-01-17 00:00:00-05:00,1664.9989013671875,1664.9989013671875,1664.9989013671875,1664.9989013671875,0,0.0,0.0
2022-01-18 00:00:00-05:00,1664.9989013671875,1664.9989013671875,1664.9989013671875,1664.9989013671875,0,0.0,0.0
2022-01-19 00:00:00-05:00,1664.9989013671875,1664.9989013671875,1664.9989013671875,1664.9989013671875,0,0.0,0.0
2022-01-20 00:00:00-05:00,1753.798828125,1815.016969037687,1749.7624671857018,1753.798828125,1481061,0.0,0.0
2022-01-21 00:00:00-05:00,1742.3624267578125,1755.8169628717726,1742.3624267578125,1742.3624267578125,1431516,0.0,0.0
2022-01-24 00:00:00-05:00,1752.4532470703125,1764.5623290078427,1722.8532690007949,1752.4532470703125,577395,0.0,0.0
2022-01-25 00:00:00-05:00,1775.3262939453125,1775.3262939453125,1749.089944773707,1775.3262939453125,830414,0.0,0.0
2022-01-26 00:00:00-05:00,1782.7261962890627,1782.7261962890627,1757.835302227668,1782.7261962890625,742791,0.0,0.0
2022-01-27 00:00:00-05:00,1782.7261962890627,1794.1625530199735,1782.7261962890627,1782.7261962890625,2019938,0.0,0.0
2022-01-28 00:00:00-05:00,1782.7261962890627,1793.4898261534495,1782.7261962890627,1782.7261962890625,327579,0.0,0.0
2022-01-31 00:00:00-05:00,1762.5444335937502,1789.453508915792,1762.5444335937502,1762.54443359375,915927,0.0,0.0
2022-02-01 00:00:00-05:00,1742.3624267578125,1762.5442309287525,1732.2715246723426,1742.3624267578125,981900,0.0,0.0
2022-02-02 00:00:00-05:00,1720.162109375,1755.8166231790185,1720.162109375,1720.162109375,1153110,0.0,0.0
2022-02-03 00:00:00-05:00,1701.998779296875,1722.8533097941886,1701.998779296875,1701.998779296875,692748,0.0,0.0
2022-02-04 00:00:00-05:00,1735.635009765625,1748.4168179770772,1702.6713991150375,1735.635009765625,443455,0.0,0.0
2022-02-07 00:00:00-05:00,1735.635009765625,1775.325887895924,1735.635009765625,1735.635009765625,490396,0.0,0.0
2022-02-08 00:00:00-05:00,1736.3077392578125,1749.0895474894662,1728.9077450184338,1736.3077392578125,386719,0.0,0.0
2022-02-09 00:00:00-05:00,1715.453369140625,1750.4351633348651,1715.453369140625,1715.453369140625,1189309,0.0,0.0
2022-02-10 00:00:00-05:00,1686.5262451171873,1747.7443896348036,1685.1807913915254,1686.5262451171875,674672,0.0,0.0
2022-02-11 00:00:00-05:00,1699.3079833984375,1718.8170615926397,1688.5443540499123,1699.3079833984375,735592,0.0,0.0
2022-02-14 00:00:00-05:00,1675.08984375,1722.1807228915663,1675.08984375,1675.08984375,1105965,0.0,0.0
2022-02-15 00:00:00-05:00,1673.7442626953127,1695.271520093323,1664.998814377371,1673.7442626953125,782387,0.0,0.0
2022-02-16 00:00:00-05:00,1671.7260742187498,1714.780588806275,1671.7260742187498,1671.72607421875,1300059,0.0,0.0
2022-02-17 00:00:00-05:00,1664.326171875,1687.8716108465542,1664.326171875,1664.326171875,829418,0.0,0.0
2022-02-18 00:00:00-05:00,1673.7442626953127,1688.5442521564448,1673.0715359016249,1673.7442626953125,654903,0.0,0.0
2022-02-21 00:00:00-05:00,1669.7080078124998,1681.8170908667405,1669.7080078124998,1669.7080078125,219244,0.0,0.0
2022-02-22 00:00:00-05:00,1653.5625,1704.0170107811227,1648.8534123270952,1653.5625,1454831,0.0,0.0
2022-02-23 00:00:00-05:00,1662.307861328125,1681.1442110315597,1635.398790323218,1662.307861328125,1523145,0.0,0.0
2022-02-24 00:00:00-05:00,1634.7259521484375,1664.9986549660011,1621.944144292133,1634.7259521484375,1629188,0.0,0.0
