Date,Company,Ticker,Avg_Sentiment,Min_Sentiment,Max_Sentiment,News_Count,Sample_Title
1970-01-01,aes_andes,AES,0.0,0.0,0.0,3,[Removed]
1970-01-01,ecopetrol,EC,0.0,0.0,0.0,3,[Removed]
1970-01-01,interconexion_electrica,ISA,0.0,0.0,0.0,7,[Removed]
1970-01-01,minas_buenaventura,BVN,0.0,0.0,0.0,1,[Removed]
1970-01-01,pampa_energía,PAM,0.0,0.0,0.0,6,[Removed]
1970-01-01,petrobras,PBR,0.0,0.0,0.0,1,[Removed]
1970-01-01,vista_energy,VIST,0.0,0.0,0.0,1,[Removed]
2024-08-07,eletrobras,EBR,0.8316,0.8316,0.8316,1,Centrais Elétricas Brasileiras S.A. – Eletrobrás (NYSE:EBR) Upgraded to Buy at StockNews.com
2024-08-08,eletrobras,EBR,0.936,0.936,0.936,1,Will the wait of home loan borrowers for reduction in EMIs be a reality in October this year? Here’s how to make the best of falling rates
2024-08-09,vista_energy,VIST,0.9649,0.9649,0.9649,1,Top 12 Write For Us Business Guest Post Sites
2024-08-09,ypf,YPF,0.27115,0.0,0.5423,2,YPF Moves to Sell Units as It Ramps Up Divestments in Shale Push
2024-08-10,eletrobras,EBR,0.9246,0.9246,0.9246,1,Lattice MachXO5D-NX FPGA Family: Enabling Hardware Security in Programmable FPGAs
2024-08-10,minas_buenaventura,BVN,0.875,0.875,0.875,1,"700,000 manufacturers, MSMEs apply for FG’s N150bn loan"
2024-08-10,ypf,YPF,0.30096666666666666,-0.0516,0.9545,3,"Cetera Advisors LLC Buys 1,066 Shares of YPF Sociedad Anónima (NYSE:YPF)"
2024-08-11,minas_buenaventura,BVN,0.0,0.0,0.0,1,JUST IN: NDIC gives N5m each to defunct Heritage Bank customers
2024-08-12,minas_buenaventura,BVN,-0.765,-0.765,-0.765,1,NDIC pays 82% of defunct Heritage Bank depositors
2024-08-12,ypf,YPF,0.31545,-0.2411,0.872,2,Earnings call: YPF reported a 20% increase in shale oil production from the Vaca Muerta
2024-08-13,eletrobras,EBR,0.836,0.836,0.836,1,Centrais Elétricas Brasileiras S.A. – Eletrobrás (NYSE:EBR) Stock Price Crosses Below 200-Day Moving Average of $7.59
2024-08-13,ypf,YPF,0.5267,0.5267,0.5267,1,"YPF Stock Earnings: YPF Beats EPS, Beats Revenue for Q1 2024"
2024-08-14,vista_energy,VIST,0.8885,0.8885,0.8885,1,Vista Energy buys back shares worth millions of dollars
2024-08-14,ypf,YPF,0.8519,0.8519,0.8519,1,YPF Sociedad Anónima (NYSE:YPF) Rating Increased to Buy at StockNews.com
2024-08-15,vista_energy,VIST,-0.7184,-0.7184,-0.7184,1,Effect of low-intensity pulsed ultrasound on postoperative rehabilitation of rotator cuff tears: Protocol for a systematic review and meta-analysis
2024-08-16,vista_energy,VIST,0.9666,0.9666,0.9666,1,"7,794 Shares in Vista Energy, S.A.B. de C.V. (NYSE:VIST) Bought by Baader Bank Aktiengesellschaft"
2024-08-16,ypf,YPF,-0.5859,-0.5859,-0.5859,1,Conflict Is Brewing in Libya Once Again
2024-08-18,minas_buenaventura,BVN,0.38915,0.0,0.7783,2,easy-monnify added to PyPI
2024-08-18,ypf,YPF,0.765,0.765,0.765,1,YPF Sociedad Anónima (NYSE:YPF) Receives $22.18 Consensus PT from Brokerages
2024-08-19,minas_buenaventura,BVN,0.9628,0.9628,0.9628,1,Compañía de Minas Buenaventura S.A.A. (NYSE:BVN) Stock Holdings Increased by Blue Trust Inc.
