Date,Open,High,Low,Close,Volume,Company,Ticker
2024-08-07 00:00:00-04:00,18.799999237060547,19.200000762939453,18.68000030517578,19.030000686645508,2124400,ypf,YPF
2024-08-08 00:00:00-04:00,19.309999465942383,20.030000686645508,19.200000762939453,19.780000686645508,2380200,ypf,YPF
2024-08-09 00:00:00-04:00,19.889999389648438,20.729999542236328,19.5,20.579999923706055,2049000,ypf,YPF
2024-08-12 00:00:00-04:00,20.709999084472656,21.459999084472656,20.579999923706055,21.440000534057617,2195700,ypf,YPF
2024-08-13 00:00:00-04:00,21.440000534057617,21.68000030517578,21.239999771118164,21.59000015258789,1380100,ypf,YPF
2024-08-14 00:00:00-04:00,21.600000381469727,22.209999084472656,21.3700008392334,21.600000381469727,1934600,ypf,YPF
2024-08-15 00:00:00-04:00,21.850000381469727,22.040000915527344,21.540000915527344,21.780000686645508,1686800,ypf,YPF
2024-08-16 00:00:00-04:00,21.799999237060547,22.0,21.5,21.670000076293945,1316500,ypf,YPF
2024-08-19 00:00:00-04:00,21.68000030517578,21.8700008392334,21.459999084472656,21.790000915527344,1613600,ypf,YPF
2024-08-20 00:00:00-04:00,21.809999465942383,22.100000381469727,21.5,21.639999389648438,1062600,ypf,YPF
2024-08-21 00:00:00-04:00,21.690000534057617,21.700000762939453,21.079999923706055,21.1200008392334,1031200,ypf,YPF
2024-08-22 00:00:00-04:00,21.170000076293945,21.170000076293945,20.420000076293945,20.68000030517578,1073200,ypf,YPF
2024-08-23 00:00:00-04:00,20.8700008392334,21.329999923706055,20.790000915527344,21.06999969482422,1429100,ypf,YPF
2024-08-26 00:00:00-04:00,21.399999618530273,21.479999542236328,20.969999313354492,21.31999969482422,682500,ypf,YPF
2024-08-27 00:00:00-04:00,21.190000534057617,21.75,21.049999237060547,21.59000015258789,754800,ypf,YPF
2024-08-28 00:00:00-04:00,21.329999923706055,21.84000015258789,21.18000030517578,21.729999542236328,839300,ypf,YPF
2024-08-29 00:00:00-04:00,21.84000015258789,22.459999084472656,21.549999237060547,22.440000534057617,1453500,ypf,YPF
2024-08-30 00:00:00-04:00,23.0,24.420000076293945,22.959999084472656,23.700000762939453,4723400,ypf,YPF
2024-09-03 00:00:00-04:00,23.479999542236328,23.649999618530273,22.93000030517578,23.25,3081400,ypf,YPF
2024-09-04 00:00:00-04:00,23.170000076293945,24.06999969482422,23.1299991607666,24.040000915527344,3052700,ypf,YPF
2024-09-05 00:00:00-04:00,24.139999389648438,24.639999389648438,23.780000686645508,23.920000076293945,2317100,ypf,YPF
2024-08-07 00:00:00-04:00,43.93000030517578,44.630001068115234,42.91999816894531,44.209999084472656,545500,pampa_energía,PAM
2024-08-08 00:00:00-04:00,45.25,49.20000076293945,44.68000030517578,48.79999923706055,564400,pampa_energía,PAM
2024-08-09 00:00:00-04:00,48.70000076293945,51.540000915527344,48.380001068115234,50.9900016784668,413100,pampa_energía,PAM
2024-08-12 00:00:00-04:00,50.9900016784668,51.83000183105469,50.0099983215332,51.83000183105469,282800,pampa_energía,PAM
2024-08-13 00:00:00-04:00,51.79999923706055,52.68000030517578,50.79999923706055,51.70000076293945,226600,pampa_energía,PAM
2024-08-14 00:00:00-04:00,51.97999954223633,53.099998474121094,50.93000030517578,51.86000061035156,217300,pampa_energía,PAM
2024-08-15 00:00:00-04:00,52.27000045776367,53.27000045776367,52.099998474121094,52.790000915527344,243400,pampa_energía,PAM
2024-08-16 00:00:00-04:00,52.959999084472656,53.970001220703125,52.33000183105469,52.52000045776367,192400,pampa_energía,PAM
2024-08-19 00:00:00-04:00,52.880001068115234,53.02000045776367,51.68000030517578,52.869998931884766,177400,pampa_energía,PAM
2024-08-20 00:00:00-04:00,52.90999984741211,53.90999984741211,52.13999938964844,52.599998474121094,180900,pampa_energía,PAM
2024-08-21 00:00:00-04:00,52.63999938964844,52.86000061035156,51.189998626708984,51.59000015258789,212400,pampa_energía,PAM
2024-08-22 00:00:00-04:00,51.34000015258789,52.380001068115234,50.2599983215332,50.56999969482422,100900,pampa_energía,PAM
