Company,Correlation
raizen,1.0
vista_energy,0.7734388327105777
pampa_energia,0.6970643192961554
braskem,0.2889528860266907
cemig,0.18921967562071093
aes_andes,-0.2807202823156883
geb,-0.6330041454689158
vale,-0.6452462440425931
petrobras,-0.7937920107950327
companhia_siderurgica_nacional,-0.9199772221181329
ecopetrol,-1.0
enel_chile,
companhia_paranaense_de_energia,
copel,
ypf,
light,
eletrobras,
centrais_eletricas_brasileiras,
